# R_1 = 10*10**3 Ohm, R_2 = 150*10**3 Ohm
# f in Hz,           U_A in V,           Phi in °
100                   1.65                4
200                   1.61                5
500                   1.61                7
1000                  1.61                8
2000                  1.61                12
5000                  1.53                25
10000                 1.29                41
15500                 1.05                50
20700                 0.88                56
50000                 0.48                70
100000                0.32                70
200000                0.21                0
500000                0.15                0
1021000               0.13                0
