# R_1 = 100Ohm, R_2 = 330Ohm
# f in Hz,           U_A in V,           Phi in °
100                   1.89                3
200                   1.89                4
500                   1.89                4
1000                  1.85                4
2000                  1.85                6
5000                  1.85                6
10000                 1.85                7
15000                 1.85                7
20000                 1.85                4
50000                 1.85                6
100000                1.85                8
200000                1.77                10
500000                1.53                12
1000000               1.1                 20 
