# Umkehr - Integrator
# f in Hz,           U_A in V (alt),    U_A in V (neu)
100                     1.85              0.61
200                     1.87              0.75
500                     1.85              0.81
1000                    1.85              0.86
2000                    1.85              0.86
5000                    1.85              0.86
10000                   1.85              0.86
15000                   1.85              0.86
20000                   1.85              0.84
50000                   1.77              0.84
100000                  1.55              0.76
200000                  1.11              0.64
500000                  0.55              0.40
1000000                 0.277             0.22               
