# p /mbar   counts_1    counts_2    counts_3
50           0            0           0
100          3            2           2
150          5            5           4
200          7            7           7
250          9            9           9
300          11           11          11
350          13           13          13
400          15           15          15
450          17           17          17
500          19           19          19
550          22           22          22
600          24           24          24
650          26           26          26
700          28           28          28
750          30           30          30
800          32           32          32
850          34           34          35
900          36           36          37
950          39           39          39
1000         41           41          41
